ANO,MERCADO,MES,CLIENTE,MN,ARTIGO,REPRESENTANTE,GERENCIA,MTS,RS
2026,I,JAN,BRANDS KIDS EIRELI,TP,OXFORD,H.G.S. REPRESENTAÇÕES LTDA,MAGDA,575.0,9643.0
2026,I,JAN,BRANDS KIDS EIRELI,TP,TECH,H.G.S. REPRESENTAÇÕES LTDA,MAGDA,172.0,4255.0
2026,I,JAN,BRASIL ARTE LTDA,TED,SILKY,GALERIA TEXTIL LTDA,MAGDA,3044.0,45357.0
2026,I,JAN,BRETE MODA COUNTRY,TP,OXFORD,SJ TOMASELLI REPRESENTACOES LTDA,MAGDA,35.0,593.0
2026,I,JAN,BROCKTON IND COM VEST E FACCOES,TED,GALLES,NSL INTERMEDIAÇÃO COMERCIAL SERVIÇOS LTDA ME,FABIANA FERNANDES,412.0,10471.0
2026,I,JAN,BROGANTEX INDUSTRIA DO VESTUARIO LTDA,TED,BOLT,CATAUÁ SERVIÇOS DE APOIO ADMINISTRATIVO,FABIANA FERNANDES,12.0,252.0
2026,I,JAN,BROGANTEX INDUSTRIA DO VESTUARIO LTDA,TF,DONATO,CATAUÁ SERVIÇOS DE APOIO ADMINISTRATIVO,FABIANA FERNANDES,12.0,288.0
2026,I,JAN,BROGANTEX INDUSTRIA DO VESTUARIO LTDA,TF,TAOS,CATAUÁ SERVIÇOS DE APOIO ADMINISTRATIVO,FABIANA FERNANDES,581.0,12326.0
2026,I,JAN,BROGANTEX INDUSTRIA DO VESTUARIO LTDA,TP,SILKY,CATAUÁ SERVIÇOS DE APOIO ADMINISTRATIVO,FABIANA FERNANDES,18.0,321.0
2026,I,JAN,BROGANTEX INDUSTRIA DO VESTUARIO LTDA,TP,SILKY STRETCH,CATAUÁ SERVIÇOS DE APOIO ADMINISTRATIVO,FABIANA FERNANDES,12.0,214.0
2026,I,JAN,BRUNA FIOROT,TF,OXFORDINE,NICCHIO REPRESENTACOES E SERVICOS S/C LTDA,MAGDA,274.0,5893.0
2026,I,JAN,BRUNISA MODA INFANTIL LTDA,TF,VICHY,H.G.S. REPRESENTAÇÕES LTDA,MAGDA,259.0,5465.0
2026,I,JAN,BUPHALLOS DISTRIBUIDORA LTDA ME,TP,GALLES STRETCH,NICCHIO REPRESENTACOES E SERVICOS S/C LTDA,MAGDA,179.0,4246.0
2026,I,JAN,C & A MODAS LTDA,TED,BIARRITZ,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,2421.0,40920.0
2026,I,JAN,C & A MODAS LTDA,TED,BOLT,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,4859.0,72405.0
2026,I,JAN,C & A MODAS LTDA,TED,SILKY,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,4100.0,61024.0
2026,I,JAN,C & A MODAS LTDA,TP,CUMARU,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,6.0,102.0
2026,I,JAN,CALDEIRA CIA LTDA,TER,BOLT,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,11271.0,133425.0
2026,I,JAN,CALDEIRA CIA LTDA,TED,BOLT,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,3173.0,50378.0
2026,I,JAN,CALDEIRA CIA LTDA,TF,OXFORD,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,300.0,5251.0
2026,I,JAN,CALDEIRA CIA LTDA,TF,VICHY,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,17326.0,266763.0
2026,I,JAN,CALDEIRA CIA LTDA,TP,PIQUET,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,1994.0,46189.0
2026,I,JAN,CALDEIRA CIA LTDA,TP,RUTH,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,1329.0,28485.0
2026,I,JAN,CALDEIRA CIA LTDA,TP,SILKY,INOVA CONSULTORIA & NEGOCIOS LTDA - EPP,MAGDA,20091.0,261607.0
2026,I,JAN,CALF ROPE,TF,GALLES,SJ TOMASELLI REPRESENTACOES LTDA,MAGDA,247.0,5462.0
